serror_rate,srv_serror_rate,same_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,dst_host_serror_rate,dst_host_srv_serror_rate,flag,class
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,anomaly
0.0,0.0,1.0,145,0.57,0.0,0.0,SF,anomaly
0.0,0.0,1.0,214,0.84,0.0,0.0,SF,anomaly
0.0,0.0,1.0,204,0.84,0.0,0.0,SF,anomaly
0.0,0.0,1.0,224,0.88,0.0,0.0,SF,anomaly
1.0,1.0,0.02,17,0.07,1.0,1.0,S0,anomaly
0.0,0.0,1.0,255,1.0,0.05,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
1.0,1.0,0.03,12,0.05,1.0,1.0,S0,anomaly
0.0,0.0,1.0,1,0.0,0.0,0.0,SF,normal
0.0,0.0,1.0,238,1.0,0.0,0.0,REJ,normal
1.0,1.0,0.0,1,0.0,1.0,1.0,S0,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.05,0.01,SF,normal
1.0,1.0,0.04,9,0.04,1.0,1.0,S0,anomaly
1.0,1.0,0.05,5,0.02,1.0,1.0,S0,anomaly
1.0,1.0,0.01,1,0.0,1.0,1.0,S0,anomaly
0.0,0.0,1.0,249,0.98,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
1.0,1.0,0.1,25,0.1,1.0,1.0,S0,anomaly
0.0,0.0,1.0,190,0.78,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,0.5,1,0.0,0.0,0.0,REJ,anomaly
1.0,1.0,0.04,14,0.05,1.0,1.0,S0,anomaly
1.0,1.0,0.02,6,0.02,1.0,1.0,S0,anomaly
0.0,0.0,1.0,140,0.73,0.0,0.0,SF,normal
0.0,0.0,0.6,89,0.35,0.0,0.0,SF,normal
1.0,1.0,0.06,16,0.06,1.0,1.0,S0,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
1.0,1.0,0.07,3,0.01,1.0,1.0,S0,anomaly
1.0,1.0,0.04,5,0.02,1.0,1.0,S0,anomaly
1.0,1.0,0.03,7,0.03,1.0,1.0,S0,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
1.0,1.0,0.19,20,0.08,1.0,1.0,S0,anomaly
0.0,0.0,0.5,1,0.0,0.0,0.0,REJ,anomaly
0.0,0.0,0.99,254,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,107,0.42,0.0,0.0,SF,anomaly
1.0,1.0,0.01,3,0.01,1.0,1.0,S0,anomaly
1.0,1.0,0.22,17,0.07,1.0,1.0,S0,anomaly
1.0,1.0,0.07,19,0.07,1.0,1.0,S0,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
1.0,1.0,0.13,24,0.09,1.0,1.0,S0,anomaly
1.0,1.0,0.04,6,0.02,1.0,1.0,S0,anomaly
0.9,0.0,0.1,11,0.04,0.09,0.0,SF,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,0.05,13,0.05,0.0,0.0,REJ,anomaly
0.0,0.0,0.2,1,0.0,0.0,0.0,SF,normal
1.0,1.0,0.05,13,0.05,1.0,1.0,S0,anomaly
0.0,0.0,1.0,238,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,128,0.52,0.01,0.02,SF,normal
0.0,0.0,0.04,11,0.04,0.0,0.0,REJ,anomaly
1.0,1.0,0.04,9,0.04,1.0,1.0,S0,anomaly
0.0,0.0,0.75,32,0.1,0.0,0.0,SF,normal
1.0,1.0,0.1,8,0.03,1.0,1.0,S0,anomaly
0.0,0.0,1.0,198,0.78,0.0,0.0,SF,normal
0.0,0.0,1.0,7,0.03,0.0,0.0,SF,normal
0.0,0.0,0.03,7,0.03,0.0,0.0,REJ,anomaly
0.25,0.25,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,122,0.48,0.51,0.58,SF,normal
0.0,0.0,1.0,250,0.98,0.0,0.0,SF,normal
1.0,1.0,0.07,20,0.08,1.0,1.0,S0,anomaly
0.0,0.0,1.0,198,0.73,0.0,0.0,SF,normal
0.0,0.0,0.5,149,0.86,0.0,0.01,SF,normal
1.0,1.0,0.02,5,0.02,1.0,1.0,S0,anomaly
0.0,0.0,1.0,102,0.4,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,27,1.0,0.0,0.0,SF,anomaly
0.0,0.0,1.0,2,0.02,0.0,0.0,REJ,anomaly
1.0,1.0,0.18,46,0.18,1.0,1.0,S0,anomaly
0.0,0.0,1.0,82,0.72,0.02,0.02,SF,normal
1.0,1.0,0.05,13,0.05,1.0,1.0,S0,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.07,0.07,1.0,255,1.0,0.0,0.0,SF,normal
1.0,1.0,0.07,15,0.06,1.0,1.0,S0,anomaly
1.0,1.0,0.04,5,0.02,1.0,1.0,S0,anomaly
0.0,0.0,1.0,86,0.55,0.0,0.0,SF,normal
0.0,0.0,1.0,151,0.68,0.0,0.0,SF,normal
1.0,1.0,0.08,24,0.09,1.0,1.0,S0,anomaly
1.0,1.0,0.04,4,0.02,1.0,1.0,S0,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
1.0,1.0,0.04,20,0.08,1.0,1.0,S0,anomaly
1.0,1.0,0.24,19,0.07,1.0,1.0,S0,anomaly
1.0,1.0,0.04,12,0.09,0.98,1.0,S0,anomaly
0.0,0.0,0.96,26,0.1,0.0,0.0,SF,anomaly
0.0,0.0,1.0,60,1.0,0.0,0.0,SF,anomaly
0.0,0.0,1.0,221,1.0,0.0,0.0,SF,anomaly
1.0,1.0,0.04,4,0.07,1.0,1.0,S0,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.33,0.33,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,49,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,28,0.68,0.0,0.0,SF,normal
0.0,0.0,1.0,19,0.1,0.01,0.0,SF,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.33,0.25,1.0,255,1.0,0.01,0.01,SF,normal
1.0,1.0,0.04,11,0.04,1.0,1.0,S0,anomaly
0.0,0.0,1.0,184,1.0,0.0,0.0,SF,anomaly
0.0,0.0,0.12,17,0.07,0.0,0.0,REJ,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,13,1.0,0.0,0.0,SF,normal
0.0,0.0,0.06,21,0.08,0.0,0.0,REJ,anomaly
1.0,1.0,0.14,34,0.13,1.0,1.0,S0,anomaly
1.0,1.0,0.29,65,0.25,1.0,1.0,S0,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
1.0,1.0,0.06,20,0.08,1.0,1.0,S0,anomaly
0.0,0.0,1.0,249,0.98,0.0,0.0,SF,normal
0.0,0.0,1.0,214,1.0,0.0,0.0,REJ,normal
0.0,0.0,0.27,17,0.07,0.0,0.0,SF,anomaly
0.0,0.0,1.0,191,0.9,0.0,0.01,SF,normal
0.0,0.0,1.0,58,0.5,0.0,0.0,SF,normal
1.0,1.0,0.08,4,0.02,1.0,1.0,S0,anomaly
0.2,0.2,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,74,1.0,0.0,0.0,SF,anomaly
0.0,0.0,1.0,249,0.98,0.0,0.0,SF,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.02,SF,normal
0.0,0.0,0.05,15,0.06,0.0,0.0,REJ,anomaly
0.0,0.0,0.54,59,0.23,0.0,0.0,SF,anomaly
1.0,1.0,0.06,6,0.02,1.0,1.0,S0,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,80,0.5,0.0,0.0,SF,normal
0.0,0.0,1.0,49,1.0,0.0,0.0,SF,anomaly
1.0,1.0,0.08,18,0.07,1.0,1.0,S0,anomaly
0.0,0.0,1.0,65,0.73,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,1,0.0,0.0,0.0,RSTR,anomaly
0.0,0.0,1.0,34,1.0,0.0,0.0,REJ,normal
1.0,1.0,0.04,1,0.0,1.0,1.0,S0,anomaly
1.0,1.0,0.03,8,0.03,1.0,1.0,S0,anomaly
1.0,1.0,0.24,19,0.08,1.0,1.0,S0,anomaly
0.0,0.0,1.0,3,1.0,0.0,0.0,SF,normal
1.0,1.0,0.22,25,0.1,1.0,1.0,S0,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,2,0.01,0.0,0.0,RSTR,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,2,0.01,0.0,0.0,RSTR,anomaly
1.0,1.0,0.14,3,0.01,1.0,1.0,S0,anomaly
1.0,1.0,0.09,3,0.01,1.0,1.0,S0,anomaly
0.0,0.0,1.0,38,0.53,0.0,0.0,SF,normal
0.0,0.0,1.0,171,0.65,0.0,0.0,SF,normal
0.0,0.0,0.5,1,0.0,0.0,0.0,RSTR,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.4,0.25,1.0,255,1.0,0.07,0.01,S2,normal
0.0,0.0,1.0,68,1.0,0.0,0.0,SF,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,85,0.41,0.0,0.0,SF,normal
0.0,0.0,1.0,129,1.0,0.0,0.0,SF,anomaly
1.0,1.0,0.07,4,0.02,1.0,1.0,S0,anomaly
0.0,0.0,1.0,66,1.0,0.0,0.0,SF,anomaly
0.0,0.0,1.0,172,1.0,0.0,0.0,SF,anomaly
0.0,0.0,1.0,3,0.01,0.93,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.07,0.0,0.0,1,0.0,0.08,0.0,REJ,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
1.0,1.0,0.03,7,0.03,1.0,1.0,S0,anomaly
1.0,1.0,0.06,17,0.07,1.0,1.0,S0,anomaly
1.0,1.0,0.15,12,0.05,1.0,1.0,S0,anomaly
0.0,0.0,1.0,185,0.82,0.0,0.0,SF,normal
0.0,0.0,1.0,62,1.0,0.17,0.02,SF,anomaly
0.0,0.0,1.0,20,0.67,0.0,0.0,SF,anomaly
1.0,1.0,0.01,1,0.0,1.0,1.0,S0,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
1.0,1.0,0.03,5,0.02,1.0,1.0,S0,anomaly
0.0,0.0,0.11,20,0.08,0.0,0.0,RSTO,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
1.0,1.0,0.04,11,0.04,1.0,1.0,S0,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
1.0,1.0,0.06,18,0.13,0.99,1.0,S0,anomaly
0.0,0.0,1.0,1,0.0,0.0,0.0,RSTR,anomaly
0.0,0.0,0.02,5,0.02,0.0,0.0,REJ,anomaly
0.0,0.0,1.0,52,1.0,0.02,0.02,SF,anomaly
0.0,0.0,1.0,177,0.69,0.0,0.0,SF,normal
1.0,1.0,0.09,1,0.0,1.0,1.0,S0,anomaly
0.0,0.0,0.05,14,0.05,0.0,0.0,REJ,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,0.5,22,0.09,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,151,0.59,0.0,0.0,SF,normal
0.0,0.0,1.0,1,0.0,0.0,0.0,SF,normal
0.0,0.0,1.0,254,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,216,0.85,0.0,0.0,SF,normal
0.0,0.0,1.0,168,0.66,0.0,0.0,SF,normal
1.0,1.0,0.1,9,0.04,1.0,1.0,S0,anomaly
0.0,0.0,0.03,6,0.02,0.0,0.0,REJ,anomaly
0.0,0.0,1.0,2,0.04,0.0,0.0,REJ,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
1.0,1.0,0.2,4,0.02,1.0,1.0,S0,anomaly
1.0,1.0,0.08,19,0.07,1.0,1.0,S0,anomaly
1.0,1.0,0.08,10,0.04,1.0,1.0,S0,anomaly
1.0,1.0,0.08,10,0.04,1.0,1.0,S0,anomaly
1.0,1.0,0.07,2,0.01,1.0,1.0,S0,anomaly
0.0,0.0,1.0,1,0.0,0.0,0.0,RSTR,anomaly
1.0,1.0,0.07,19,0.07,1.0,1.0,S0,anomaly
0.0,0.0,1.0,15,1.0,0.0,0.07,SF,normal
0.0,0.0,1.0,77,1.0,0.0,0.03,SF,normal
1.0,1.0,0.01,6,0.02,1.0,1.0,S0,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,111,0.44,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.01,SF,normal
1.0,1.0,0.15,19,0.07,1.0,1.0,S0,anomaly
0.0,0.0,0.2,1,0.0,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.12,0.22,1.0,255,1.0,0.05,0.0,SF,normal
1.0,1.0,0.0,20,0.08,1.0,1.0,S0,anomaly
1.0,1.0,0.14,20,0.08,1.0,1.0,S0,anomaly
0.0,0.0,1.0,9,0.04,0.03,0.0,SF,anomaly
0.0,0.0,1.0,16,0.06,0.0,0.0,SF,normal
0.0,0.0,1.0,78,0.52,0.0,0.0,SF,normal
0.0,0.0,1.0,86,0.18,0.0,0.0,SF,normal
1.0,1.0,0.16,8,0.03,1.0,1.0,S0,anomaly
0.0,0.0,1.0,16,0.07,0.83,0.0,SF,normal
0.0,0.0,1.0,206,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
1.0,1.0,0.07,11,0.04,1.0,1.0,S0,anomaly
1.0,1.0,0.08,19,0.07,1.0,1.0,S0,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,237,0.93,0.0,0.0,SF,normal
1.0,1.0,0.07,10,0.04,1.0,1.0,S0,anomaly
1.0,1.0,0.06,16,0.06,1.0,1.0,S0,anomaly
1.0,1.0,0.02,8,0.03,1.0,1.0,S0,anomaly
1.0,1.0,0.0,1,0.0,1.0,1.0,S0,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.06,0.03,1.0,255,1.0,0.01,0.01,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
1.0,1.0,0.23,14,0.05,1.0,1.0,S0,anomaly
1.0,1.0,0.02,2,0.01,1.0,1.0,S0,anomaly
0.12,0.0,0.0,1,0.0,0.13,0.0,REJ,anomaly
0.0,0.0,1.0,56,1.0,0.0,0.0,SF,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
1.0,1.0,0.03,7,0.03,1.0,1.0,S0,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,254,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
1.0,1.0,0.02,17,0.07,1.0,1.0,S0,anomaly
0.33,0.17,1.0,255,1.0,0.09,0.02,S1,normal
1.0,1.0,0.12,8,0.03,1.0,1.0,S0,anomaly
0.0,0.0,1.0,1,0.01,0.0,0.0,SF,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,44,0.45,0.0,0.02,SF,normal
0.0,0.0,1.0,229,1.0,0.0,0.0,REJ,normal
0.0,0.0,1.0,253,0.99,0.0,0.0,SF,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,229,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,254,1.0,0.0,0.0,SF,normal
0.0,0.0,0.05,11,0.04,0.0,0.0,REJ,anomaly
1.0,1.0,0.04,10,0.04,1.0,1.0,S0,anomaly
0.0,0.0,1.0,45,0.18,0.01,0.0,SF,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,238,1.0,0.0,0.0,SF,anomaly
0.0,0.0,0.2,13,0.05,0.0,0.0,SF,normal
0.0,0.0,1.0,2,0.01,0.0,0.0,SF,normal
1.0,1.0,0.08,13,0.05,1.0,1.0,S0,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
1.0,1.0,0.02,4,0.02,1.0,1.0,S0,anomaly
0.0,0.0,1.0,165,0.6,0.0,0.0,SF,normal
0.0,0.0,1.0,119,1.0,0.0,0.0,SF,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
1.0,1.0,0.09,20,0.08,1.0,1.0,S0,anomaly
1.0,1.0,0.03,7,0.03,1.0,1.0,S0,anomaly
0.0,0.0,1.0,56,0.1,0.03,0.02,SF,normal
0.0,0.0,1.0,69,1.0,0.0,0.01,SF,normal
1.0,1.0,0.03,8,0.03,1.0,1.0,S0,anomaly
0.0,0.0,1.0,28,1.0,0.0,0.0,SF,anomaly
0.0,0.0,1.0,169,1.0,0.0,0.0,SF,anomaly
0.75,1.0,0.25,2,0.01,0.02,1.0,S0,anomaly
1.0,1.0,0.19,20,0.08,1.0,1.0,S0,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,anomaly
1.0,1.0,0.05,13,0.05,1.0,1.0,S0,anomaly
0.0,0.0,1.0,198,0.78,0.0,0.0,SF,anomaly
1.0,1.0,0.06,13,0.05,1.0,1.0,S0,anomaly
1.0,1.0,0.04,7,0.03,1.0,1.0,S0,anomaly
0.0,0.0,1.0,1,0.0,0.0,0.0,RSTR,anomaly
0.0,0.0,1.0,2,0.01,0.0,0.0,RSTR,anomaly
0.0,0.0,1.0,254,1.0,0.0,0.0,SF,normal
1.0,1.0,0.02,5,0.02,1.0,1.0,S0,anomaly
0.11,0.0,0.0,1,0.0,0.12,0.0,REJ,anomaly
0.0,0.0,0.12,18,0.15,0.0,0.0,REJ,anomaly
0.0,0.0,1.0,63,0.72,0.01,0.02,SF,normal
0.0,0.0,0.0,1,0.0,0.0,0.0,REJ,anomaly
1.0,1.0,0.02,5,0.02,1.0,1.0,S0,anomaly
1.0,1.0,0.06,14,0.05,1.0,1.0,S0,anomaly
1.0,1.0,0.22,18,0.07,1.0,1.0,S0,anomaly
0.0,0.0,0.22,30,0.12,0.16,0.0,SF,anomaly
1.0,1.0,0.01,2,0.01,1.0,1.0,S0,anomaly
0.0,0.0,0.16,20,0.08,0.0,0.0,REJ,anomaly
0.0,0.0,0.07,18,0.07,0.0,0.0,REJ,anomaly
0.0,0.0,1.0,2,0.01,0.0,0.0,RSTR,anomaly
1.0,1.0,0.03,8,0.03,1.0,1.0,S0,anomaly
1.0,1.0,0.32,21,0.08,1.0,1.0,S0,anomaly
1.0,1.0,0.07,20,0.08,1.0,1.0,S0,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,62,0.43,0.0,0.0,SF,normal
0.0,0.0,1.0,71,1.0,0.0,0.0,REJ,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
1.0,1.0,0.11,15,0.06,1.0,1.0,S0,anomaly
1.0,1.0,0.09,16,0.06,1.0,1.0,S0,anomaly
0.0,0.0,0.14,19,0.07,0.0,0.0,RSTO,anomaly
0.0,0.0,1.0,46,0.18,0.36,0.52,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,211,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,0.06,6,0.18,0.0,0.0,REJ,anomaly
1.0,1.0,0.09,24,0.09,1.0,1.0,S0,anomaly
0.0,0.0,0.67,97,0.38,0.01,0.02,SF,normal
1.0,1.0,0.09,8,0.03,1.0,1.0,S0,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,157,1.0,0.0,0.0,SF,anomaly
1.0,1.0,0.07,20,0.08,1.0,1.0,S0,anomaly
0.0,0.0,1.0,198,0.78,0.0,0.0,SF,normal
0.0,0.0,1.0,2,0.05,0.0,0.0,REJ,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,23,1.0,0.0,0.0,SF,anomaly
1.0,1.0,0.09,3,0.01,1.0,1.0,S0,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
1.0,1.0,0.01,19,0.07,1.0,1.0,S0,anomaly
0.0,0.0,1.0,6,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,7,0.05,0.0,0.0,SF,anomaly
1.0,1.0,1.0,46,0.18,1.0,1.0,S0,anomaly
0.0,0.0,1.0,156,0.61,0.0,0.0,SF,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,194,0.83,0.0,0.0,SF,normal
0.0,0.0,1.0,86,0.34,0.0,0.0,SF,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
1.0,1.0,0.5,61,0.25,0.99,1.0,S0,anomaly
0.0,0.0,1.0,242,0.95,0.0,0.0,SF,normal
0.0,0.0,1.0,2,0.03,0.0,0.0,REJ,anomaly
1.0,1.0,0.06,12,0.06,1.0,1.0,S0,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
1.0,1.0,0.02,8,0.03,1.0,1.0,S0,anomaly
1.0,1.0,0.01,4,0.02,1.0,1.0,S0,anomaly
0.0,0.0,1.0,228,0.89,0.0,0.0,SF,normal
1.0,1.0,0.04,11,0.04,1.0,1.0,S0,anomaly
0.0,0.0,1.0,1,0.0,0.0,0.0,RSTR,anomaly
0.0,0.0,1.0,2,0.01,0.0,0.0,SF,normal
1.0,1.0,0.05,7,0.03,1.0,1.0,S0,anomaly
0.0,0.0,1.0,2,0.02,0.0,0.0,SF,normal
1.0,1.0,0.07,8,0.03,1.0,1.0,S0,anomaly
0.0,0.0,1.0,204,1.0,0.0,0.0,SF,normal
0.0,0.0,0.02,2,0.01,0.0,0.0,RSTO,anomaly
1.0,1.0,0.05,6,0.02,1.0,1.0,S0,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
1.0,1.0,0.15,20,0.08,1.0,1.0,S0,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.01,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
1.0,1.0,0.09,9,0.04,1.0,1.0,S0,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,248,0.97,0.0,0.0,SF,normal
0.0,0.0,1.0,47,1.0,0.0,0.0,SF,normal
0.0,0.0,0.07,19,0.07,0.0,0.0,REJ,anomaly
0.0,0.0,1.0,112,0.68,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,anomaly
1.0,1.0,0.01,20,0.08,1.0,1.0,S0,anomaly
0.0,0.0,1.0,253,0.99,0.0,0.0,SF,normal
0.0,0.0,1.0,196,0.79,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,123,0.52,0.01,0.02,SF,normal
1.0,1.0,0.02,11,0.04,1.0,1.0,S0,anomaly
1.0,1.0,0.0,11,0.04,1.0,1.0,S0,anomaly
0.0,0.0,0.14,231,0.91,0.0,0.0,SF,normal
0.0,0.0,1.0,162,0.46,0.0,0.0,SF,normal
1.0,1.0,0.22,48,0.24,0.99,1.0,S0,anomaly
1.0,1.0,0.13,2,0.01,1.0,1.0,S0,anomaly
0.0,0.0,1.0,183,1.0,0.0,0.0,SF,anomaly
0.0,0.0,1.0,184,1.0,0.0,0.0,SF,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,anomaly
1.0,1.0,0.12,13,0.05,1.0,1.0,S0,anomaly
0.0,0.0,1.0,247,0.97,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,22,0.25,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
1.0,1.0,0.08,25,0.1,1.0,1.0,S0,anomaly
0.0,0.0,1.0,91,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,2,0.01,0.0,0.0,RSTR,anomaly
0.0,0.0,1.0,61,0.4,0.01,0.02,SF,normal
